"id","Address","Cuisine","insertedAtTimestamp","Latitude","Longitude","Name","Number of Reviews","Open","Rating","Zip Code"
"0ASfmKBIeJlTO6IzES6rzw","71 W Houston St","japanese","24/02/2022 22:12:23","40.72654","'-73.99956","Shiki Omakase","117","N/A","4.5","10012"
"BYnd0Kbkrjhz0CGKMF1lqg","317 Union Ave","healthy","24/02/2022 22:13:41","40.70983","'-73.95109","Modern Love Brooklyn","605","N/A","4","11211"
"PJfXA2NFkwyDY9a14qYthw","13-11 Jackson Ave","dessert","24/02/2022 22:02:30","40.744347","'-73.9495349","Taste Crème","162","N/A","4.5","11101"
"SoZvIrx7TSRj-mV2izNwOQ","214 Main St","korean","24/02/2022 22:05:14","40.851128","'-73.971","Gopchang Story  Fort Lee","69","N/A","4","07024"
"NgD-6ogFGc_c4z5_Ur4k2g","108 Lexington Ave","indian","24/02/2022 22:14:08","40.742364","'-73.982813","Dhaba Indian Cuisine","1524","N/A","3.5","10016"
"l9HA-Hdw8hkRxVfK5mbq-g","1073 Manhattan Ave","dessert","24/02/2022 16:12:43","40.735386","'-73.95536","Royal Hawaiian Shave Ice","7","N/A","4.5","11222"
"jXcc7Ofp5b5Xwa3-NZc9Sw","1603 2nd Ave","pizza","24/02/2022 22:01:33","40.776219","'-73.95327","Vinnie's Pizzeria","145","N/A","3.5","10028"
"omOPvWNdukvWOC0peXPyng","363 Fairview Ave","chinese","24/02/2022 22:02:43","40.81084","'-74.00097","Fairview Chinese Restaurant","142","N/A","4","07022"
"5gcrlif2enGxj7eKAoz-5g","4193 Broadway","seafood","24/02/2022 22:05:49","40.84807","'-73.93803","Terravita","261","N/A","4.5","10033"
"BJn68qCExYQrPCT7CeOpzw","3519-25 Johnson Ave","vietnamese","24/02/2022 22:05:28","40.8861089331436","'-73.909908766271","Moon Star Grill","118","N/A","4","10463"
"Vz_VSDTLuuEfaku4ihKTvA","343 W Broadway","american","24/02/2022 22:13:26","40.722622","'-74.0033741","Little Ways","29","N/A","4","10013"
"FXYsBqMu2q1dhJYQg_FfAA","350 1st Ave","pizza","24/02/2022 22:11:18","40.73512","'-73.97965","Rosemary’s","109","N/A","4","10010"
"JQXEMY5sndLt7HgUsnlyMg","1291 1st Ave","healthy","24/02/2022 22:10:12","40.7662649","'-73.95746609999999","Little Beet","14","N/A","4.5","10021"
"wSGZA3DOFSUvALZRKCM_Sw","1372 York Ave","japanese","24/02/2022 16:39:43","40.767568","'-73.952815","Tanoshi Sushi Sake Bar","726","N/A","4.5","10021"
"GRXvvB1OKMuW4XDWEaVAlg","216 Bedford Ave","pizza","24/02/2022 22:13:37","40.71691","'-73.958987","Joe's Pizza","387","N/A","4","11249"
